rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,subject,list,ppt_race,ppt_gender,url,first_guess,correct,key_press,responses,image_type,phrase_type,test_part
3618,Welcome to the experiment. Press Continue to begin.,0,html-button-response,0,3623,0.0-0.0,95748,List1B,black,woman,,,,,,,,
41729,,,external-html,1,46494,0.0-1.0,95748,List1B,black,woman,consent.html,,,,,,,
25168,"<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>",0,html-button-response,2,71665,0.0-2.0,95748,List1B,black,woman,,,,,,,,
68823,"<img src='img/portrait_matrix_list1.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,3,141492,0.0-3.0-0.0,95748,List1B,black,woman,,,,,,,,
6416,"<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,html-button-response,4,148912,0.0-3.0-1.0,95748,List1B,black,woman,,TRUE,4,,,,,
null,CORRECT,,html-keyboard-response,5,150418,0.0-3.0-2.0-0.0,95748,List1B,black,woman,,,,null,,,,
2264,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,html-button-response,6,152685,0.0-3.0-4.0,95748,List1B,black,woman,,TRUE,3,,,,,
null,CORRECT,,html-keyboard-response,7,154191,0.0-3.0-5.0-0.0,95748,List1B,black,woman,,,,null,,,,
3265,"<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,html-button-response,8,157458,0.0-3.0-7.0,95748,List1B,black,woman,,TRUE,6,,,,,
null,CORRECT,,html-keyboard-response,9,158962,0.0-3.0-8.0-0.0,95748,List1B,black,woman,,,,null,,,,
3115,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",2,html-button-response,10,162079,0.0-3.0-10.0,95748,List1B,black,woman,,TRUE,0,,,,,
13006,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,html-button-response,11,176088,0.0-3.0-12.0-0.0,95748,List1B,black,woman,,FALSE,0,,,,,
null,CORRECT,,html-keyboard-response,12,177593,0.0-3.0-12.0-1.0-0.0,95748,List1B,black,woman,,,,null,,,,
4418,"<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,html-button-response,13,182014,0.0-3.0-13.0,95748,List1B,black,woman,,TRUE,2,,,,,
null,CORRECT,,html-keyboard-response,14,183519,0.0-3.0-14.0-0.0,95748,List1B,black,woman,,,,null,,,,
6651,"<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,html-button-response,15,190172,0.0-3.0-16.0,95748,List1B,black,woman,,TRUE,7,,,,,
null,CORRECT,,html-keyboard-response,16,191678,0.0-3.0-17.0-0.0,95748,List1B,black,woman,,,,null,,,,
5053,"<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,html-button-response,17,196732,0.0-3.0-19.0,95748,List1B,black,woman,,TRUE,1,,,,,
null,CORRECT,,html-keyboard-response,18,198237,0.0-3.0-20.0-0.0,95748,List1B,black,woman,,,,null,,,,
5359,"<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,html-button-response,19,203597,0.0-3.0-22.0,95748,List1B,black,woman,,TRUE,5,,,,,
null,CORRECT,,html-keyboard-response,20,205101,0.0-3.0-23.0-0.0,95748,List1B,black,woman,,,,null,,,,
