rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,subject,list,ppt_race,ppt_gender,url,first_guess,correct,key_press,responses,image_type,phrase_type,test_part
2709,Welcome to the experiment. Press Continue to begin.,0,html-button-response,0,2717,0.0-0.0,41853,List1A,white,woman,,,,,,,,
45158,,,external-html,1,48932,0.0-1.0,41853,List1A,white,woman,consent.html,,,,,,,
9314,"<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>",0,html-button-response,2,58250,0.0-2.0,41853,List1A,white,woman,,,,,,,,
90371,"<img src='img/portrait_matrix_list1.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,3,149635,0.0-3.0-0.0,41853,List1A,white,woman,,,,,,,,
3669,"<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,html-button-response,4,154316,0.0-3.0-1.0,41853,List1A,white,woman,,TRUE,7,,,,,
null,CORRECT,,html-keyboard-response,5,155831,0.0-3.0-2.0-0.0,41853,List1A,white,woman,,,,null,,,,
2737,"<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,html-button-response,6,158573,0.0-3.0-4.0,41853,List1A,white,woman,,TRUE,5,,,,,
null,CORRECT,,html-keyboard-response,7,160092,0.0-3.0-5.0-0.0,41853,List1A,white,woman,,,,null,,,,
1847,"<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,html-button-response,8,161942,0.0-3.0-7.0,41853,List1A,white,woman,,TRUE,4,,,,,
null,CORRECT,,html-keyboard-response,9,163462,0.0-3.0-8.0-0.0,41853,List1A,white,woman,,,,null,,,,
2448,"<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,html-button-response,10,165913,0.0-3.0-10.0,41853,List1A,white,woman,,TRUE,2,,,,,
null,CORRECT,,html-keyboard-response,11,167431,0.0-3.0-11.0-0.0,41853,List1A,white,woman,,,,null,,,,
3134,"<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,html-button-response,12,170568,0.0-3.0-13.0,41853,List1A,white,woman,,TRUE,6,,,,,
null,CORRECT,,html-keyboard-response,13,172081,0.0-3.0-14.0-0.0,41853,List1A,white,woman,,,,null,,,,
1936,"<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,html-button-response,14,174021,0.0-3.0-16.0,41853,List1A,white,woman,,TRUE,1,,,,,
