rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,subject,list,ppt_race,ppt_gender,url,first_guess,correct,key_press,responses,image_type,phrase_type,test_part
1376,Welcome to the experiment. Press Continue to begin.,0,html-button-response,0,1381,0.0-0.0,61322,List1B,black,woman,,,,,,,,
6342,,,external-html,1,8835,0.0-1.0,61322,List1B,black,woman,consent.html,,,,,,,
11276,"<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>",0,html-button-response,2,20114,0.0-2.0,61322,List1B,black,woman,,,,,,,,
72514,"<img src='img/portrait_matrix_list1.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,3,93636,0.0-3.0-0.0,61322,List1B,black,woman,,,,,,,,
3914,"<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,html-button-response,4,98556,0.0-3.0-1.0,61322,List1B,black,woman,,TRUE,2,,,,,
null,CORRECT,,html-keyboard-response,5,100065,0.0-3.0-2.0-0.0,61322,List1B,black,woman,,,,null,,,,
1912,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,html-button-response,6,101979,0.0-3.0-4.0,61322,List1B,black,woman,,TRUE,3,,,,,
null,CORRECT,,html-keyboard-response,7,103490,0.0-3.0-5.0-0.0,61322,List1B,black,woman,,,,null,,,,
2143,"<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,html-button-response,8,105636,0.0-3.0-7.0,61322,List1B,black,woman,,TRUE,5,,,,,
null,CORRECT,,html-keyboard-response,9,107140,0.0-3.0-8.0-0.0,61322,List1B,black,woman,,,,null,,,,
2292,"<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,html-button-response,10,109436,0.0-3.0-10.0,61322,List1B,black,woman,,TRUE,6,,,,,
null,CORRECT,,html-keyboard-response,11,110940,0.0-3.0-11.0-0.0,61322,List1B,black,woman,,,,null,,,,
2156,"<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,html-button-response,12,113098,0.0-3.0-13.0,61322,List1B,black,woman,,TRUE,4,,,,,
null,CORRECT,,html-keyboard-response,13,114605,0.0-3.0-14.0-0.0,61322,List1B,black,woman,,,,null,,,,
4956,"<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,html-button-response,14,119563,0.0-3.0-16.0,61322,List1B,black,woman,,TRUE,1,,,,,
null,CORRECT,,html-keyboard-response,15,121072,0.0-3.0-17.0-0.0,61322,List1B,black,woman,,,,null,,,,
2417,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,html-button-response,16,123491,0.0-3.0-19.0,61322,List1B,black,woman,,TRUE,0,,,,,
null,CORRECT,,html-keyboard-response,17,124995,0.0-3.0-20.0-0.0,61322,List1B,black,woman,,,,null,,,,
1909,"<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,html-button-response,18,126906,0.0-3.0-22.0,61322,List1B,black,woman,,TRUE,7,,,,,
null,CORRECT,,html-keyboard-response,19,128409,0.0-3.0-23.0-0.0,61322,List1B,black,woman,,,,null,,,,
1541,<p>You got 8 out of 8 right first time. Press Continue.</p>,0,html-button-response,20,129954,0.0-3.0-25.0,61322,List1B,black,woman,,,,,,,,
20474,"<p>In this experiment, you will view photographs of the people from the memory game interacting.</p><p>By using the <strong>exact</strong> phrase given <i>after</i> the photograph appears and recalling the correct names of the people in the photographs, form a sentence describing the interaction. You do not need to capitalise names.</p><p>Type your answer in the space provided. Please complete every sentence before moving onto the next trial.</p><p>You will only have a few seconds to memorise each given photograph and phrase before you can respond, so try your best to focus.</p><p>An example is given below. Press 'Continue' when you are ready.</p><img src='img/speaking_example.jpg' style='width:800px;height:460px;''></img>",0,html-button-response,21,151434,0.0-4.0,61322,List1B,black,woman,,,,,,,,
