"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_race","ppt_gender","url","first_guess","correct","key_press","responses","image_type","phrase_type","test_part","response","stimulus1","stimulus2","question_type","survey_item"
"65764.59999999404","Welcome to the experiment. Press Continue to begin.","0","html-button-response","0","65767","0.0-0.0","99311","List2A","black","woman","","","","","","","","","","","","",""
"26180","","","external-html","1","93188","0.0-1.0","99311","List2A","black","woman","consent.html","","","","","","","","","","","",""
"86800.89999999106","<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>","0","html-button-response","2","179988","0.0-2.0","99311","List2A","black","woman","","","","","","","","","","","","",""
"20612.40000000596","<img src='img/portrait_matrix_list2.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>","0","html-button-response","3","201603","0.0-3.0-0.0","99311","List2A","black","woman","","","","","","","","","","","","",""
"4620.70000000298","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>","0","html-button-response","4","207228","0.0-3.0-1.0","99311","List2A","black","woman","","true","0","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","5","208738","0.0-3.0-2.0-0.0","99311","List2A","black","woman","","","","null","","","","","","","","",""
"5483.4000000059605","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>","7","html-button-response","6","214225","0.0-3.0-4.0","99311","List2A","black","woman","","true","7","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","7","215736","0.0-3.0-5.0-0.0","99311","List2A","black","woman","","","","null","","","","","","","","",""
"2553.1000000089407","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>","2","html-button-response","8","218291","0.0-3.0-7.0","99311","List2A","black","woman","","true","2","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","9","219798","0.0-3.0-8.0-0.0","99311","List2A","black","woman","","","","null","","","","","","","","",""
"3055.0999999940395","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>","5","html-button-response","10","222855","0.0-3.0-10.0","99311","List2A","black","woman","","true","5","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","11","224358","0.0-3.0-11.0-0.0","99311","List2A","black","woman","","","","null","","","","","","","","",""
"5157.5","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>","4","html-button-response","12","229518","0.0-3.0-13.0","99311","List2A","black","woman","","true","4","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","13","231021","0.0-3.0-14.0-0.0","99311","List2A","black","woman","","","","null","","","","","","","","",""
"4291.5","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>","3","html-button-response","14","235314","0.0-3.0-16.0","99311","List2A","black","woman","","true","3","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","15","236819","0.0-3.0-17.0-0.0","99311","List2A","black","woman","","","","null","","","","","","","","",""
"4493.9000000059605","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>","1","html-button-response","16","241315","0.0-3.0-19.0","99311","List2A","black","woman","","true","1","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","17","242819","0.0-3.0-20.0-0.0","99311","List2A","black","woman","","","","null","","","","","","","","",""
"2437.2999999970198","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>","6","html-button-response","18","245258","0.0-3.0-22.0","99311","List2A","black","woman","","true","6","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","19","246762","0.0-3.0-23.0-0.0","99311","List2A","black","woman","","","","null","","","","","","","","",""
"1893.9000000059605","<p>You got 8 out of 8 right first time. Press Continue.</p>","0","html-button-response","20","248657","0.0-3.0-25.0","99311","List2A","black","woman","","","","","","","","","","","","",""
"34363.70000000298","<p>In this experiment, you will view photographs of the people from the memory game interacting.</p><p>By using the <strong>exact</strong> phrase given <i>after</i> the photograph appears and recalling the correct names of the people in the photographs, form a sentence describing the interaction. You do not need to capitalise names.</p><p>Type your answer in the space provided. Please complete every sentence before moving onto the next trial.</p><p>You will only have a few seconds to memorise each given photograph and phrase before you can respond, so try your best to focus.</p><p>An example is given below. Press 'Continue' when you are ready.</p><img src='img/speaking_example.jpg' style='width:800px;height:460px;''></img>","0","html-button-response","21","284025","0.0-4.0","99311","List2A","black","woman","","","","","","","","","","","","",""
"4976.5","<p>Before the experiment starts, you will watch two example trials. Press 'Continue'.</p>","0","html-button-response","22","290005","0.0-5.0","99311","List2A","black","woman","","","","","","","","","","","","",""
"null","<img src='img/play_eg.gif' style='height:400px;''></img>","","html-keyboard-response","23","293010","0.0-6.0","99311","List2A","black","woman","","","","null","","","","","","","","",""
"null","<p>is playing with</p>","","html-keyboard-response","24","295011","0.0-7.0","99311","List2A","black","woman","","","","null","","","","","","","","",""
"13047.10000000894","<p><b>Answer:</b> jane is playing with ruth</p>","0","html-button-response","25","308059","0.0-8.0","99311","List2A","black","woman","","","","","","","","","","","","",""
