rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,subject,list,ppt_race,ppt_gender,url,first_guess,correct,key_press,responses,image_type,phrase_type,test_part,response,stimulus1,stimulus2,question_type,survey_item
3702.4,Welcome to the experiment. Press Continue to begin.,0,html-button-response,0,3719,0.0-0.0,54362,List2A,white,man,,,,,,,,,,,,,
50090.2,,,external-html,1,55687,0.0-1.0,54362,List2A,white,man,consent.html,,,,,,,,,,,,
17692.5,"<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>",0,html-button-response,2,73385,0.0-2.0,54362,List2A,white,man,,,,,,,,,,,,,
30494.8,"<img src='img/portrait_matrix_list2.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,3,104895,0.0-3.0-0.0,54362,List2A,white,man,,,,,,,,,,,,,
7783.1,"<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,html-button-response,4,113705,0.0-3.0-1.0,54362,List2A,white,man,,TRUE,6,,,,,,,,,,
null,CORRECT,,html-keyboard-response,5,115245,0.0-3.0-2.0-0.0,54362,List2A,white,man,,,,null,,,,,,,,,
6738.8,"<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,html-button-response,6,121988,0.0-3.0-4.0,54362,List2A,white,man,,TRUE,1,,,,,,,,,,
null,CORRECT,,html-keyboard-response,7,123543,0.0-3.0-5.0-0.0,54362,List2A,white,man,,,,null,,,,,,,,,
6027.9,"<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,html-button-response,8,129580,0.0-3.0-7.0,54362,List2A,white,man,,TRUE,5,,,,,,,,,,
null,CORRECT,,html-keyboard-response,9,131089,0.0-3.0-8.0-0.0,54362,List2A,white,man,,,,null,,,,,,,,,
9325.9,"<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,html-button-response,10,140420,0.0-3.0-10.0,54362,List2A,white,man,,TRUE,7,,,,,,,,,,
null,CORRECT,,html-keyboard-response,11,141933,0.0-3.0-11.0-0.0,54362,List2A,white,man,,,,null,,,,,,,,,
