rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,subject,list,ppt_race,ppt_gender,url,first_guess,correct,key_press,responses,image_type,phrase_type,test_part,response,stimulus1,stimulus2,question_type,survey_item
2393,Welcome to the experiment. Press Continue to begin.,0,html-button-response,0,2412,0.0-0.0,13470,List2B,white,woman,,,,,,,,,,,,,
45166,,,external-html,1,48773,0.0-1.0,13470,List2B,white,woman,consent.html,,,,,,,,,,,,
5891,"<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>",0,html-button-response,2,54667,0.0-2.0,13470,List2B,white,woman,,,,,,,,,,,,,
210344,"<img src='img/portrait_matrix_list2.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,3,266018,0.0-3.0-0.0,13470,List2B,white,woman,,,,,,,,,,,,,
8217,"<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,html-button-response,4,275243,0.0-3.0-1.0,13470,List2B,white,woman,,TRUE,6,,,,,,,,,,
null,CORRECT,,html-keyboard-response,5,276767,0.0-3.0-2.0-0.0,13470,List2B,white,woman,,,,null,,,,,,,,,
2728,"<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,html-button-response,6,279498,0.0-3.0-4.0,13470,List2B,white,woman,,TRUE,1,,,,,,,,,,
null,CORRECT,,html-keyboard-response,7,281013,0.0-3.0-5.0-0.0,13470,List2B,white,woman,,,,null,,,,,,,,,
2197,"<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,html-button-response,8,283210,0.0-3.0-7.0,13470,List2B,white,woman,,TRUE,5,,,,,,,,,,
null,CORRECT,,html-keyboard-response,9,284737,0.0-3.0-8.0-0.0,13470,List2B,white,woman,,,,null,,,,,,,,,
8742,"<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,html-button-response,10,293483,0.0-3.0-10.0,13470,List2B,white,woman,,TRUE,3,,,,,,,,,,
null,CORRECT,,html-keyboard-response,11,295000,0.0-3.0-11.0-0.0,13470,List2B,white,woman,,,,null,,,,,,,,,
2585,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",2,html-button-response,12,297587,0.0-3.0-13.0,13470,List2B,white,woman,,TRUE,0,,,,,,,,,,
12170,"<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,html-button-response,13,310770,0.0-3.0-15.0-0.0,13470,List2B,white,woman,,FALSE,0,,,,,,,,,,
