"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","ppt_language","url","first_guess","correct","key_press","responses","image","verb","phrase","condition","test_part"
"8028.200000047684","Welcome to the experiment. Press Continue to begin.",0,"html-button-response",0,8030,"0.0-0.0",28850,"ListA","woman","english",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28345.799999952316",NA,NA,"external-html",1,37383,"0.0-1.0",28850,"ListA","woman","english","consent.html",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3029.7999999523163","<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><p>The experiment will start after you have completed this memory test.</p><p>Ready?</p>",0,"html-button-response",2,40414,"0.0-2.0",28850,"ListA","woman","english",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28636.599999904633","<img src='img/portrait_matrix_listA.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 5 times during this experiment.</strong></p>",0,"html-button-response",3,70053,"0.0-3.0-0.0",28850,"ListA","woman","english",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4766.400000095367","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,"html-button-response",4,75822,"0.0-3.0-1.0",28850,"ListA","woman","english",NA,"true",5,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",5,77325,"0.0-3.0-2.0-0.0",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"4261.799999952316","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,"html-button-response",6,81589,"0.0-3.0-4.0",28850,"ListA","woman","english",NA,"true",1,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",7,83105,"0.0-3.0-5.0-0.0",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"1954.4000000953674","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,"html-button-response",8,85062,"0.0-3.0-7.0",28850,"ListA","woman","english",NA,"true",2,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",9,86578,"0.0-3.0-8.0-0.0",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"3232.5","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",4,"html-button-response",10,89814,"0.0-3.0-10.0",28850,"ListA","woman","english",NA,"true",0,NA,NA,NA,NA,NA,NA,NA
"8097.299999952316","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,"html-button-response",11,98917,"0.0-3.0-12.0-0.0",28850,"ListA","woman","english",NA,"false",0,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",12,100427,"0.0-3.0-12.0-1.0-0.0",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"3761.0999999046326","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",7,"html-button-response",13,104190,"0.0-3.0-13.0",28850,"ListA","woman","english",NA,"true",6,NA,NA,NA,NA,NA,NA,NA
"2286.5","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,"html-button-response",14,107478,"0.0-3.0-15.0-0.0",28850,"ListA","woman","english",NA,"false",6,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",15,108995,"0.0-3.0-15.0-1.0-0.0",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"2497.300000190735","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,"html-button-response",16,111494,"0.0-3.0-16.0",28850,"ListA","woman","english",NA,"true",4,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",17,113012,"0.0-3.0-17.0-0.0",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"3183.399999856949","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,"html-button-response",18,116197,"0.0-3.0-19.0",28850,"ListA","woman","english",NA,"true",3,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",19,117708,"0.0-3.0-20.0-0.0",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"2544.7999999523163","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,"html-button-response",20,120254,"0.0-3.0-22.0",28850,"ListA","woman","english",NA,"true",7,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",21,121784,"0.0-3.0-23.0-0.0",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"2291.0999999046326","<p>You got 6 out of 8 right first time. Press Continue.</p>",0,"html-button-response",22,124077,"0.0-3.0-25.0",28850,"ListA","woman","english",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5814.400000095367","As you did not score 100%, the memory game will repeat. Press Continue.",0,"html-button-response",23,130901,"0.0-3.0-26.0-0.0",28850,"ListA","woman","english",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7797.899999856949","<img src='img/portrait_matrix_listA.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 5 times during this experiment.</strong></p>",0,"html-button-response",24,139702,"0.0-3.1-0.1",28850,"ListA","woman","english",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5715.200000047684","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>",5,"html-button-response",25,146422,"0.0-3.1-1.1",28850,"ListA","woman","english",NA,"true",5,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",26,147923,"0.0-3.1-2.1-0.1",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"5114","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>",1,"html-button-response",27,153039,"0.0-3.1-4.1",28850,"ListA","woman","english",NA,"true",1,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",28,154549,"0.0-3.1-5.1-0.1",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"4966.5","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>",2,"html-button-response",29,159518,"0.0-3.1-7.1",28850,"ListA","woman","english",NA,"true",2,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",30,161019,"0.0-3.1-8.1-0.1",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"4016.800000190735","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>",0,"html-button-response",31,165037,"0.0-3.1-10.1",28850,"ListA","woman","english",NA,"true",0,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",32,166545,"0.0-3.1-11.1-0.1",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"3554.800000190735","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>",6,"html-button-response",33,170102,"0.0-3.1-13.1",28850,"ListA","woman","english",NA,"true",6,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",34,171606,"0.0-3.1-14.1-0.1",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"1484.6000001430511","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,"html-button-response",35,173093,"0.0-3.1-16.1",28850,"ListA","woman","english",NA,"true",4,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",36,174605,"0.0-3.1-17.1-0.1",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"2751.2000000476837","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,"html-button-response",37,177357,"0.0-3.1-19.1",28850,"ListA","woman","english",NA,"true",3,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",38,178862,"0.0-3.1-20.1-0.1",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"4333.799999952316","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,"html-button-response",39,183198,"0.0-3.1-22.1",28850,"ListA","woman","english",NA,"true",7,NA,NA,NA,NA,NA,NA,NA
"null","CORRECT",NA,"html-keyboard-response",40,184700,"0.0-3.1-23.1-0.1",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"1854.8000001907349","<p>You got 8 out of 8 right first time. Press Continue.</p>",0,"html-button-response",41,186558,"0.0-3.1-25.1",28850,"ListA","woman","english",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5063.200000047684","<p>In this experiment, you will view photographs of the people from the memory game.</p><p>By using the <strong>exact</strong> phrase given <i>after</i> the photograph appears and recalling the correct names of the people in the photographs, form a sentence describing an interaction. You do not need to capitalise names.</p><p>Type your answer in the space provided. Please complete every sentence before moving onto the next trial.</p><p>You will only have a few seconds to memorise each given photograph and phrase before you can respond, so try your best to focus.</p><p>An example is given below. Press 'Continue' when you are ready.</p><img src='img/speaking_example.jpg' style='width:800px;height:460px;''></img>",0,"html-button-response",42,192630,"0.0-4.0",28850,"ListA","woman","english",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1765.3000001907349","<p>Before the experiment starts, you will watch two example trials. Press 'Continue'.</p>",0,"html-button-response",43,195398,"0.0-5.0",28850,"ListA","woman","english",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"null","<img src='img/meet.gif' style='height:400px;''></img>",NA,"html-keyboard-response",44,198411,"0.0-6.0",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<p>is meeting</p>",NA,"html-keyboard-response",45,200428,"0.0-7.0",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"5447.5","<p><b>Answer:</b> kate is meeting beth</p>",0,"html-button-response",46,205877,"0.0-8.0",28850,"ListA","woman","english",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"null","<img src='img/spy.gif' style='height:400px;''></img>",NA,"html-keyboard-response",47,208884,"0.0-9.0",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<p>is being spied on by</p>",NA,"html-keyboard-response",48,210897,"0.0-10.0",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"228629.60000014305","<p><b>Answer:</b> luke is being spied on by dave</p>",0,"html-button-response",49,439527,"0.0-11.0",28850,"ListA","woman","english",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97451.29999995232","<p>Ready to start the experiment?</p><br><p><strong>Remember to describe the picture using a full sentence,</strong></p><p><strong>that combines the names of the people with the <i>exact</i> phrase given.</strong></p><p><strong>To receive full payment you must do this correctly.</strong></p><p><strong> You do not need to capitalise names or use punctuation.</strong></p><br><p>Press 'Continue' to begin.</p>",0,"html-button-response",50,537981,"0.0-12.0",28850,"ListA","woman","english",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",51,539483,"0.0-13.0-0.0",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/ChineseGender4b.gif' style='height:400px;''></img>",NA,"html-keyboard-response",52,541487,"0.0-13.0-1.0",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","is facing",NA,"html-keyboard-response",53,544492,"0.0-13.0-2.0",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"21774.700000047684",NA,NA,"survey-text",54,566277,"0.0-13.0-3.0",28850,"ListA","woman","english",NA,NA,NA,NA,"{""Q0"":""KATE is facing to mike""}","<img src='gifs/ChineseGender4b.gif' style='height:400px;''></img>","facing","is facing","english",NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",55,566783,"0.0-13.0-0.1",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/BlackGender2b.gif' style='height:400px;''></img>",NA,"html-keyboard-response",56,568788,"0.0-13.0-1.1",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","is accompanying",NA,"html-keyboard-response",57,571789,"0.0-13.0-2.1",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"16075",NA,NA,"survey-text",58,587869,"0.0-13.0-3.1",28850,"ListA","woman","english",NA,NA,NA,NA,"{""Q0"":""Dave is accompanying ruth""}","<img src='gifs/BlackGender2b.gif' style='height:400px;''></img>","accompanying","is accompanying","english",NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",59,588378,"0.0-13.0-0.2",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/FemaleRace4a.gif' style='height:400px;''></img>",NA,"html-keyboard-response",60,590396,"0.0-13.0-1.2",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","is listening to",NA,"html-keyboard-response",61,593404,"0.0-13.0-2.2",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"11291.700000047684",NA,NA,"survey-text",62,604701,"0.0-13.0-3.2",28850,"ListA","woman","english",NA,NA,NA,NA,"{""Q0"":""Beth is listening to Jane""}","<img src='gifs/FemaleRace4a.gif' style='height:400px;''></img>","listening to","is listening to","english",NA
"null","<div style=""font-size:60px;"">+</div>",NA,"html-keyboard-response",63,605215,"0.0-13.0-0.3",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","<img src='gifs/FemaleRace2b.gif' style='height:400px;''></img>",NA,"html-keyboard-response",64,607224,"0.0-13.0-1.3",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"null","is contacting",NA,"html-keyboard-response",65,610225,"0.0-13.0-2.3",28850,"ListA","woman","english",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"11591",NA,NA,"survey-text",66,621821,"0.0-13.0-3.3",28850,"ListA","woman","english",NA,NA,NA,NA,"{""Q0"":""Kate is contacting jane""}","<img src='gifs/FemaleRace2b.gif' style='height:400px;''></img>","contacting","is contacting","english",NA
