"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","ppt_language","ptptID","url","first_guess","correct","key_press","responses","image","verb","phrase","condition","test_part"
"2535","Welcome to the experiment. Press Continue to begin.",0,"html-button-response",0,2538,"0.0-0.0",82789,"ListB","woman","chinese","CFB7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60743",NA,NA,"external-html",1,64323,"0.0-1.0",82789,"ListB","woman","chinese","CFB7","consent.html",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12801","<p>在下一页中，您将看到8个人物肖像和他们各自的名字。</p><p>请花费几分钟的时间记住这些人物及其所对应的名字。</p><p>之后的实验中需要您对人物的名字做出回忆，</p><p>因此在实验开始前请确保您已 经完全记住这些人物及其所对应的名字。</p><p><strong>然后您将完成一个测试以检验您对人物和名字的记忆。</strong></p><p>完成此记忆测试后，您将正式进入实验。</p><p>准备好了吗？</p>",0,"html-button-response",2,77126,"0.0-2.0",82789,"ListB","woman","chinese","CFB7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117345","<img src='img/portrait_matrix_listB_chinese.jpg' style='width:900px;height:500px;''></img><p>如果您已经记住了所有的人物和名字，请点击继续。</p><p><strong>请注意：您对先前记忆的面孔将在本实验中被测试5次。</strong></p>",0,"html-button-response",3,195473,"0.0-3.0-0.0",82789,"ListB","woman","chinese","CFB7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14254.00000000003","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>",7,"html-button-response",4,210729,"0.0-3.0-1.0",82789,"ListB","woman","chinese","CFB7",NA,"true",7,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",5,212233,"0.0-3.0-2.0-0.0",82789,"ListB","woman","chinese","CFB7",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"6060","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>",4,"html-button-response",6,218295,"0.0-3.0-4.0",82789,"ListB","woman","chinese","CFB7",NA,"true",4,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",7,219798,"0.0-3.0-5.0-0.0",82789,"ListB","woman","chinese","CFB7",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
"19464","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>",3,"html-button-response",8,239263,"0.0-3.0-7.0",82789,"ListB","woman","chinese","CFB7",NA,"true",3,NA,NA,NA,NA,NA,NA,NA
"null","正确",NA,"html-keyboard-response",9,240764,"0.0-3.0-8.0-0.0",82789,"ListB","woman","chinese","CFB7",NA,NA,NA,"null",NA,NA,NA,NA,NA,NA
