rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,subject,list,ppt_race,ppt_gender,url,first_guess,correct,key_press,responses,image_type,phrase_type,test_part
1545,Welcome to the experiment. Press Continue to begin.,0,html-button-response,0,1551,0.0-0.0,18280,List2A,white,woman,,,,,,,,
41221,,,external-html,1,44540,0.0-1.0,18280,List2A,white,woman,consent.html,,,,,,,
7145,"<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>",0,html-button-response,2,51687,0.0-2.0,18280,List2A,white,woman,,,,,,,,
116336,"<img src='img/portrait_matrix_list2.JPG' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>",0,html-button-response,3,169027,0.0-3.0-0.0,18280,List2A,white,woman,,,,,,,,
2813,"<img src=""portrait/BW1.jpg""style=""width:400px;height:400px;""></img>",0,html-button-response,4,172843,0.0-3.0-1.0,18280,List2A,white,woman,,TRUE,0,,,,,
null,CORRECT,,html-keyboard-response,5,174349,0.0-3.0-2.0-0.0,18280,List2A,white,woman,,,,null,,,,
3071,"<img src=""portrait/WW2.jpg""style=""width:400px;height:400px;""></img>",3,html-button-response,6,177423,0.0-3.0-4.0,18280,List2A,white,woman,,TRUE,3,,,,,
null,CORRECT,,html-keyboard-response,7,178930,0.0-3.0-5.0-0.0,18280,List2A,white,woman,,,,null,,,,
3815,"<img src=""portrait/WM1.jpg""style=""width:400px;height:400px;""></img>",6,html-button-response,8,182747,0.0-3.0-7.0,18280,List2A,white,woman,,TRUE,6,,,,,
null,CORRECT,,html-keyboard-response,9,184250,0.0-3.0-8.0-0.0,18280,List2A,white,woman,,,,null,,,,
4286,"<img src=""portrait/WM2.jpg""style=""width:400px;height:400px;""></img>",7,html-button-response,10,188539,0.0-3.0-10.0,18280,List2A,white,woman,,TRUE,7,,,,,
null,CORRECT,,html-keyboard-response,11,190042,0.0-3.0-11.0-0.0,18280,List2A,white,woman,,,,null,,,,
2791,"<img src=""portrait/BW2.jpg""style=""width:400px;height:400px;""></img>",2,html-button-response,12,192835,0.0-3.0-13.0,18280,List2A,white,woman,,TRUE,2,,,,,
null,CORRECT,,html-keyboard-response,13,194338,0.0-3.0-14.0-0.0,18280,List2A,white,woman,,,,null,,,,
3259,"<img src=""portrait/WW1.jpg""style=""width:400px;height:400px;""></img>",1,html-button-response,14,197599,0.0-3.0-16.0,18280,List2A,white,woman,,TRUE,1,,,,,
null,CORRECT,,html-keyboard-response,15,199101,0.0-3.0-17.0-0.0,18280,List2A,white,woman,,,,null,,,,
2403,"<img src=""portrait/BM2.jpg""style=""width:400px;height:400px;""></img>",5,html-button-response,16,201507,0.0-3.0-19.0,18280,List2A,white,woman,,TRUE,5,,,,,
null,CORRECT,,html-keyboard-response,17,203011,0.0-3.0-20.0-0.0,18280,List2A,white,woman,,,,null,,,,
8249,"<img src=""portrait/BM1.jpg""style=""width:400px;height:400px;""></img>",4,html-button-response,18,211263,0.0-3.0-22.0,18280,List2A,white,woman,,TRUE,4,,,,,
null,CORRECT,,html-keyboard-response,19,212766,0.0-3.0-23.0-0.0,18280,List2A,white,woman,,,,null,,,,
1738,<p>You got 8 out of 8 right first time. Press Continue.</p>,0,html-button-response,20,214507,0.0-3.0-25.0,18280,List2A,white,woman,,,,,,,,
30059,"<p>In this experiment, you will view photographs of the people from the memory game interacting.</p><p>By using the <strong>exact</strong> phrase given <i>after</i> the photograph appears and recalling the correct names of the people in the photographs, form a sentence describing the interaction. You do not need to capitalise names.</p><p>Type your answer in the space provided. Please complete every sentence before moving onto the next trial.</p><p>You will only have a few seconds to memorise each given photograph and phrase before you can respond, so try your best to focus.</p><p>An example is given below. Press 'Continue' when you are ready.</p><img src='img/speaking_example_v2.jpg' style='width:800px;height:460px;''></img>",0,html-button-response,21,245570,0.0-4.0,18280,List2A,white,woman,,,,,,,,
1806,"<p>Before the experiment starts, you will watch two example trials. Press 'Continue'.</p>",0,html-button-response,22,248378,0.0-5.0,18280,List2A,white,woman,,,,,,,,
null,<img src='img/speaking_WW.gif'></img>,,html-keyboard-response,23,251380,0.0-6.0,18280,List2A,white,woman,,,,null,,,,
null,<p>is speaking to</p>,,html-keyboard-response,24,253382,0.0-7.0,18280,List2A,white,woman,,,,null,,,,
3207,<p><b>Answer:</b> jane is speaking to ruth</p>,0,html-button-response,25,256591,0.0-8.0,18280,List2A,white,woman,,,,,,,,
