"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_gender","ppt_language","ptptID","url","first_guess","correct","key_press","responses","image","verb","phrase","condition","test_part"
"2649.3999996185303","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>","4","html-button-response","10","120217","0.0-3.0-10.0","27922","ListA","man","english","EMA2","","true","4","","","","","","",""
"null","CORRECT","","html-keyboard-response","11","121725","0.0-3.0-11.0-0.0","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"2351.3999996185303","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>","7","html-button-response","12","124079","0.0-3.0-13.0","27922","ListA","man","english","EMA2","","true","7","","","","","","",""
"null","CORRECT","","html-keyboard-response","13","125589","0.0-3.0-14.0-0.0","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"7887.39999961853","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>","0","html-button-response","14","133479","0.0-3.0-16.0","27922","ListA","man","english","EMA2","","true","0","","","","","","",""
"null","CORRECT","","html-keyboard-response","15","134987","0.0-3.0-17.0-0.0","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"5499.599999904633","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>","1","html-button-response","16","140489","0.0-3.0-19.0","27922","ListA","man","english","EMA2","","true","1","","","","","","",""
"null","CORRECT","","html-keyboard-response","17","141999","0.0-3.0-20.0-0.0","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"1871.6999998092651","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>","3","html-button-response","18","143873","0.0-3.0-22.0","27922","ListA","man","english","EMA2","","true","3","","","","","","",""
"null","CORRECT","","html-keyboard-response","19","145382","0.0-3.0-23.0-0.0","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"1824.7000002861023","<p>You got 8 out of 8 right first time. Press Continue.</p>","0","html-button-response","20","147209","0.0-3.0-25.0","27922","ListA","man","english","EMA2","","","","","","","","","",""
"50892.90000009537","<p>In this experiment, you will view photographs of the people from the memory game.</p><p>By using the <strong>exact</strong> phrase given <i>after</i> the photograph appears and recalling the correct names of the people in the photographs, form a sentence describing an interaction. You do not need to capitalise names.</p><p>Type your answer in the space provided. Please complete every sentence before moving onto the next trial.</p><p>You will only have a few seconds to memorise each given photograph and phrase before you can respond, so try your best to focus.</p><p>An example is given below. Press 'Continue' when you are ready.</p><img src='img/speaking_example.jpg' style='width:800px;height:460px;''></img>","0","html-button-response","21","199110","0.0-4.0","27922","ListA","man","english","EMA2","","","","","","","","","",""
"2865.7999997138977","<p>Before the experiment starts, you will watch two example trials. Press 'Continue'.</p>","0","html-button-response","22","202980","0.0-5.0","27922","ListA","man","english","EMA2","","","","","","","","","",""
"null","<img src='img/meet.gif' style='height:400px;''></img>","","html-keyboard-response","23","205990","0.0-6.0","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","<p>is meeting</p>","","html-keyboard-response","24","207995","0.0-7.0","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"7142.300000190735","<p><b>Answer:</b> kate is meeting beth</p>","0","html-button-response","25","215139","0.0-8.0","27922","ListA","man","english","EMA2","","","","","","","","","",""
"null","<img src='img/spy.gif' style='height:400px;''></img>","","html-keyboard-response","26","218145","0.0-9.0","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","<p>is being spied on by</p>","","html-keyboard-response","27","220150","0.0-10.0","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"4667.300000190735","<p><b>Answer:</b> luke is being spied on by dave</p>","0","html-button-response","28","224819","0.0-11.0","27922","ListA","man","english","EMA2","","","","","","","","","",""
"15307.199999809265","<p>Ready to start the experiment?</p><br><p><strong>Remember to describe the picture using a full sentence,</strong></p><p><strong>that combines the names of the people with the <i>exact</i> phrase given.</strong></p><p><strong>To receive full payment you must do this correctly.</strong></p><p><strong> You do not need to capitalise names or use punctuation.</strong></p><br><p>Press 'Continue' to begin.</p>","0","html-button-response","29","241131","0.0-12.0","27922","ListA","man","english","EMA2","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","30","242635","0.0-13.0-0.0","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","<img src='gifs/MaleRace1b.gif' style='height:400px;''></img>","","html-keyboard-response","31","244641","0.0-13.0-1.0","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","is following","","html-keyboard-response","32","247643","0.0-13.0-2.0","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"10145.800000190735","","","survey-text","33","257795","0.0-13.0-3.0","27922","ListA","man","english","EMA2","","","","","{""Q0"":""luke is following fred""}","<img src='gifs/MaleRace1b.gif' style='height:400px;''></img>","following","is following","english",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","34","258298","0.0-13.0-0.1","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","<img src='gifs/FemaleRace2b.gif' style='height:400px;''></img>","","html-keyboard-response","35","260304","0.0-13.0-1.1","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","is looking at","","html-keyboard-response","36","263306","0.0-13.0-2.1","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"9184.199999809265","","","survey-text","37","272493","0.0-13.0-3.1","27922","ListA","man","english","EMA2","","","","","{""Q0"":""kate is looking at jane""}","<img src='gifs/FemaleRace2b.gif' style='height:400px;''></img>","looking at","is looking at","english",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","38","272995","0.0-13.0-0.2","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","<img src='gifs/BlackGender3b.gif' style='height:400px;''></img>","","html-keyboard-response","39","274998","0.0-13.0-1.2","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","is employing","","html-keyboard-response","40","278004","0.0-13.0-2.2","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"24528.5","","","survey-text","41","302536","0.0-13.0-3.2","27922","ListA","man","english","EMA2","","","","","{""Q0"":""luke is employing jane""}","<img src='gifs/BlackGender3b.gif' style='height:400px;''></img>","employing","is employing","english",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","42","303039","0.0-13.0-0.3","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","<img src='gifs/MaleRace2a.gif' style='height:400px;''></img>","","html-keyboard-response","43","305042","0.0-13.0-1.3","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","is introducing","","html-keyboard-response","44","308044","0.0-13.0-2.3","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"16842.200000286102","","","survey-text","45","324889","0.0-13.0-3.3","27922","ListA","man","english","EMA2","","","","","{""Q0"":""fred is introducing dave""}","<img src='gifs/MaleRace2a.gif' style='height:400px;''></img>","introducing","is introducing","english",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","46","325391","0.0-13.0-0.4","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","<img src='gifs/BlackGender4b.gif' style='height:400px;''></img>","","html-keyboard-response","47","327397","0.0-13.0-1.4","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","is praising","","html-keyboard-response","48","330400","0.0-13.0-2.4","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"9228.699999809265","","","survey-text","49","339631","0.0-13.0-3.4","27922","ListA","man","english","EMA2","","","","","{""Q0"":""dave is praising jane""}","<img src='gifs/BlackGender4b.gif' style='height:400px;''></img>","praising","is praising","english",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","50","340135","0.0-13.0-0.5","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","<img src='gifs/FemaleRace3b.gif' style='height:400px;''></img>","","html-keyboard-response","51","342140","0.0-13.0-1.5","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","is facing","","html-keyboard-response","52","345143","0.0-13.0-2.5","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"46383","","","survey-text","53","391530","0.0-13.0-3.5","27922","ListA","man","english","EMA2","","","","","{""Q0"":"" is facing ""}","<img src='gifs/FemaleRace3b.gif' style='height:400px;''></img>","facing","is facing","english",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","54","392033","0.0-13.0-0.6","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","<img src='gifs/MaleRace2a.gif' style='height:400px;''></img>","","html-keyboard-response","55","394039","0.0-13.0-1.6","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","is employing","","html-keyboard-response","56","397042","0.0-13.0-2.6","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"9292.800000190735","","","survey-text","57","406339","0.0-13.0-3.6","27922","ListA","man","english","EMA2","","","","","{""Q0"":""dave is employing fred""}","<img src='gifs/MaleRace2a.gif' style='height:400px;''></img>","employing","is employing","english",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","58","406840","0.0-13.0-0.7","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","<img src='gifs/ChineseGender1b.gif' style='height:400px;''></img>","","html-keyboard-response","59","408845","0.0-13.0-1.7","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","is approaching","","html-keyboard-response","60","411850","0.0-13.0-2.7","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"10381.400000095367","","","survey-text","61","422235","0.0-13.0-3.7","27922","ListA","man","english","EMA2","","","","","{""Q0"":""fred is approaching kate""}","<img src='gifs/ChineseGender1b.gif' style='height:400px;''></img>","approaching","is approaching","english",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","62","422738","0.0-13.0-0.8","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","<img src='gifs/ChineseGender3b.gif' style='height:400px;''></img>","","html-keyboard-response","63","424743","0.0-13.0-1.8","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","is listening to","","html-keyboard-response","64","427746","0.0-13.0-2.8","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"18009.800000190735","","","survey-text","65","445759","0.0-13.0-3.8","27922","ListA","man","english","EMA2","","","","","{""Q0"":""is listening to mike""}","<img src='gifs/ChineseGender3b.gif' style='height:400px;''></img>","listening to","is listening to","english",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","66","446263","0.0-13.0-0.9","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","<img src='gifs/BlackGender3b.gif' style='height:400px;''></img>","","html-keyboard-response","67","448268","0.0-13.0-1.9","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","is facing","","html-keyboard-response","68","451270","0.0-13.0-2.9","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"17210.400000095367","","","survey-text","69","468484","0.0-13.0-3.9","27922","ListA","man","english","EMA2","","","","","{""Q0"":""jane is facing luke""}","<img src='gifs/BlackGender3b.gif' style='height:400px;''></img>","facing","is facing","english",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","70","468986","0.0-13.0-0.10","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","<img src='gifs/FemaleRace2b.gif' style='height:400px;''></img>","","html-keyboard-response","71","470989","0.0-13.0-1.10","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","is convincing","","html-keyboard-response","72","473995","0.0-13.0-2.10","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"45564","","","survey-text","73","519563","0.0-13.0-3.10","27922","ListA","man","english","EMA2","","","","","{""Q0"":""jane is convincing kate""}","<img src='gifs/FemaleRace2b.gif' style='height:400px;''></img>","convincing","is convincing","english",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","74","520065","0.0-13.0-0.11","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","<img src='gifs/ChineseGender3b.gif' style='height:400px;''></img>","","html-keyboard-response","75","522071","0.0-13.0-1.11","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","is promising","","html-keyboard-response","76","525077","0.0-13.0-2.11","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"6640.299999713898","","","survey-text","77","531721","0.0-13.0-3.11","27922","ListA","man","english","EMA2","","","","","{""Q0"":""mike is promising ""}","<img src='gifs/ChineseGender3b.gif' style='height:400px;''></img>","promising","is promising","english",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","78","532224","0.0-13.0-0.12","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","<img src='gifs/ChineseGender1a.gif' style='height:400px;''></img>","","html-keyboard-response","79","534230","0.0-13.0-1.12","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","is contacting","","html-keyboard-response","80","537235","0.0-13.0-2.12","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"11003.699999809265","","","survey-text","81","548243","0.0-13.0-3.12","27922","ListA","man","english","EMA2","","","","","{""Q0"":""fred is contacting kate""}","<img src='gifs/ChineseGender1a.gif' style='height:400px;''></img>","contacting","is contacting","english",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","82","548747","0.0-13.0-0.13","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","<img src='gifs/BlackGender2b.gif' style='height:400px;''></img>","","html-keyboard-response","83","550752","0.0-13.0-1.13","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","is touching","","html-keyboard-response","84","553759","0.0-13.0-2.13","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"6894.5","","","survey-text","85","560658","0.0-13.0-3.13","27922","ListA","man","english","EMA2","","","","","{""Q0"":""dave is touching ""}","<img src='gifs/BlackGender2b.gif' style='height:400px;''></img>","touching","is touching","english",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","86","561161","0.0-13.0-0.14","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","<img src='gifs/ChineseGender1b.gif' style='height:400px;''></img>","","html-keyboard-response","87","563167","0.0-13.0-1.14","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","is contacting","","html-keyboard-response","88","566171","0.0-13.0-2.14","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"7945.5","","","survey-text","89","574121","0.0-13.0-3.14","27922","ListA","man","english","EMA2","","","","","{""Q0"":""fred is contacting kate""}","<img src='gifs/ChineseGender1b.gif' style='height:400px;''></img>","contacting","is contacting","english",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","90","574625","0.0-13.0-0.15","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","<img src='gifs/FemaleRace1b.gif' style='height:400px;''></img>","","html-keyboard-response","91","576630","0.0-13.0-1.15","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","is praising","","html-keyboard-response","92","579633","0.0-13.0-2.15","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"10104","","","survey-text","93","589740","0.0-13.0-3.15","27922","ListA","man","english","EMA2","","","","","{""Q0"":""kate is prasing ""}","<img src='gifs/FemaleRace1b.gif' style='height:400px;''></img>","praising","is praising","english",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","94","590242","0.0-13.0-0.16","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","<img src='gifs/MaleRace4a.gif' style='height:400px;''></img>","","html-keyboard-response","95","592245","0.0-13.0-1.16","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","is contacting","","html-keyboard-response","96","595248","0.0-13.0-2.16","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"9748.300000190735","","","survey-text","97","605000","0.0-13.0-3.16","27922","ListA","man","english","EMA2","","","","","{""Q0"":""mike is contacting dave""}","<img src='gifs/MaleRace4a.gif' style='height:400px;''></img>","contacting","is contacting","english",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","98","605501","0.0-13.0-0.17","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","<img src='gifs/MaleRace4a.gif' style='height:400px;''></img>","","html-keyboard-response","99","607504","0.0-13.0-1.17","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","is mentioning","","html-keyboard-response","100","610507","0.0-13.0-2.17","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"8754.599999904633","","","survey-text","101","619265","0.0-13.0-3.17","27922","ListA","man","english","EMA2","","","","","{""Q0"":""dave is mentioning mike""}","<img src='gifs/MaleRace4a.gif' style='height:400px;''></img>","mention","is mentioning","english",""
"29316.39999961853","<img src='img/portrait_matrix_listA.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 5 times during this experiment.</strong></p>","0","html-button-response","102","648583","0.0-14.0-0.0","27922","ListA","man","english","EMA2","","","","","","","","","",""
"4025.5","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>","1","html-button-response","103","653613","0.0-14.0-1.0","27922","ListA","man","english","EMA2","","true","1","","","","","","",""
"null","CORRECT","","html-keyboard-response","104","655121","0.0-14.0-2.0-0.0","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"2185.7000002861023","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>","5","html-button-response","105","657309","0.0-14.0-4.0","27922","ListA","man","english","EMA2","","true","5","","","","","","",""
"null","CORRECT","","html-keyboard-response","106","658817","0.0-14.0-5.0-0.0","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"1315.4000000953674","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>","7","html-button-response","107","660135","0.0-14.0-7.0","27922","ListA","man","english","EMA2","","true","7","","","","","","",""
"null","CORRECT","","html-keyboard-response","108","661639","0.0-14.0-8.0-0.0","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"2969.7000002861023","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>","6","html-button-response","109","664611","0.0-14.0-10.0","27922","ListA","man","english","EMA2","","true","6","","","","","","",""
"null","CORRECT","","html-keyboard-response","110","666124","0.0-14.0-11.0-0.0","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"1800.4000000953674","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>","2","html-button-response","111","667927","0.0-14.0-13.0","27922","ListA","man","english","EMA2","","true","2","","","","","","",""
"null","CORRECT","","html-keyboard-response","112","669430","0.0-14.0-14.0-0.0","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"2832.7999997138977","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>","4","html-button-response","113","672266","0.0-14.0-16.0","27922","ListA","man","english","EMA2","","true","4","","","","","","",""
"null","CORRECT","","html-keyboard-response","114","673777","0.0-14.0-17.0-0.0","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"1962.0999999046326","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>","0","html-button-response","115","675742","0.0-14.0-19.0","27922","ListA","man","english","EMA2","","true","0","","","","","","",""
"null","CORRECT","","html-keyboard-response","116","677249","0.0-14.0-20.0-0.0","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"2006.1999998092651","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>","3","html-button-response","117","679258","0.0-14.0-22.0","27922","ListA","man","english","EMA2","","true","3","","","","","","",""
"null","CORRECT","","html-keyboard-response","118","680765","0.0-14.0-23.0-0.0","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"1869.5999999046326","<p>You got 8 out of 8 right first time. Press Continue.</p>","0","html-button-response","119","682638","0.0-14.0-25.0","27922","ListA","man","english","EMA2","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","120","684150","0.0-15.0-0.0","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","<img src='gifs/MaleRace1a.gif' style='height:400px;''></img>","","html-keyboard-response","121","686156","0.0-15.0-1.0","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","is joining","","html-keyboard-response","122","689162","0.0-15.0-2.0","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"8951.199999809265","","","survey-text","123","698118","0.0-15.0-3.0","27922","ListA","man","english","EMA2","","","","","{""Q0"":""fred is joining luke""}","<img src='gifs/MaleRace1a.gif' style='height:400px;''></img>","join","is joining","english",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","124","698622","0.0-15.0-0.1","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","<img src='gifs/BlackGender3a.gif' style='height:400px;''></img>","","html-keyboard-response","125","700629","0.0-15.0-1.1","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","is listening to","","html-keyboard-response","126","703633","0.0-15.0-2.1","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"7074.599999904633","","","survey-text","127","710712","0.0-15.0-3.1","27922","ListA","man","english","EMA2","","","","","{""Q0"":""jane is listening to luke""}","<img src='gifs/BlackGender3a.gif' style='height:400px;''></img>","listening to","is listening to","english",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","128","711213","0.0-15.0-0.2","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","<img src='gifs/FemaleRace1b.gif' style='height:400px;''></img>","","html-keyboard-response","129","713218","0.0-15.0-1.2","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","is looking at","","html-keyboard-response","130","716224","0.0-15.0-2.2","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"6287","","","survey-text","131","722515","0.0-15.0-3.2","27922","ListA","man","english","EMA2","","","","","{""Q0"":""ruth is looking at kate""}","<img src='gifs/FemaleRace1b.gif' style='height:400px;''></img>","looking at","is looking at","english",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","132","723019","0.0-15.0-0.3","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","<img src='gifs/ChineseGender3a.gif' style='height:400px;''></img>","","html-keyboard-response","133","725024","0.0-15.0-1.3","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","is convincing","","html-keyboard-response","134","728027","0.0-15.0-2.3","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"11655.200000286102","","","survey-text","135","739687","0.0-15.0-3.3","27922","ListA","man","english","EMA2","","","","","{""Q0"":""mike is convincing beth""}","<img src='gifs/ChineseGender3a.gif' style='height:400px;''></img>","convincing","is convincing","english",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","136","740189","0.0-15.0-0.4","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","<img src='gifs/BlackGender2a.gif' style='height:400px;''></img>","","html-keyboard-response","137","742191","0.0-15.0-1.4","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","is looking at","","html-keyboard-response","138","745197","0.0-15.0-2.4","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"6566.799999713898","","","survey-text","139","751767","0.0-15.0-3.4","27922","ListA","man","english","EMA2","","","","","{""Q0"":""ruth is looking at dave""}","<img src='gifs/BlackGender2a.gif' style='height:400px;''></img>","looking at","is looking at","english",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","140","752268","0.0-15.0-0.5","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","<img src='gifs/BlackGender1b.gif' style='height:400px;''></img>","","html-keyboard-response","141","754273","0.0-15.0-1.5","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","is accompanying","","html-keyboard-response","142","757278","0.0-15.0-2.5","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"17021.099999904633","","","survey-text","143","774302","0.0-15.0-3.5","27922","ListA","man","english","EMA2","","","","","{""Q0"":""luke is accompanying ruth""}","<img src='gifs/BlackGender1b.gif' style='height:400px;''></img>","accompanying","is accompanying","english",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","144","774806","0.0-15.0-0.6","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","<img src='gifs/ChineseGender4b.gif' style='height:400px;''></img>","","html-keyboard-response","145","776812","0.0-15.0-1.6","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","is approaching","","html-keyboard-response","146","779817","0.0-15.0-2.6","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"9120","","","survey-text","147","788940","0.0-15.0-3.6","27922","ListA","man","english","EMA2","","","","","{""Q0"":""mike is approaching kate""}","<img src='gifs/ChineseGender4b.gif' style='height:400px;''></img>","approaching","is approaching","english",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","148","789443","0.0-15.0-0.7","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","<img src='gifs/FemaleRace3a.gif' style='height:400px;''></img>","","html-keyboard-response","149","791447","0.0-15.0-1.7","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","is approaching","","html-keyboard-response","150","794454","0.0-15.0-2.7","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"8073","","","survey-text","151","802531","0.0-15.0-3.7","27922","ListA","man","english","EMA2","","","","","{""Q0"":""ruth is accroaching beth""}","<img src='gifs/FemaleRace3a.gif' style='height:400px;''></img>","approaching","is approaching","english",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","152","803036","0.0-15.0-0.8","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","<img src='gifs/MaleRace1a.gif' style='height:400px;''></img>","","html-keyboard-response","153","805041","0.0-15.0-1.8","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"null","is employing","","html-keyboard-response","154","808047","0.0-15.0-2.8","27922","ListA","man","english","EMA2","","","","null","","","","","",""
"8644.599999904633","","","survey-text","155","816695","0.0-15.0-3.8","27922","ListA","man","english","EMA2","","","","","{""Q0"":""luke is empolying mike""}","<img src='gifs/MaleRace1a.gif' style='height:400px;''></img>","employing","is employing","english",""
