rt,stimulus,button_pressed,choices,ChosenStimulus,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,subject,list,ppt_gender,url,key_press,sentence_type,verb,test_part,responses,question_order,left_part,right_part,name_order
3281.4000000000233,Welcome to the experiment. Press Continue to begin.,0,Continue,Continue,html-button-response,0,3286,0.0-0.0,anomymised,6560c4cfd080ba12b16d8282,6564c8e76f2fa89691c46d09,94731,1A,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34109.59999999998,NA,NA,NA,NA,external-html,1,38513,0.0-1.0,anomymised,6560c4cfd080ba12b16d8282,6564c8e76f2fa89691c46d09,94731,1A,man,consent.html,NA,NA,NA,NA,NA,NA,NA,NA,NA
70462.70000000007,"<p>Welcome.</p><p>In this experiment we will ask you to imagine people's motivations for saying sentences.</p><p>Each trial will begin with a sentence that somebody might say to describe an event involving two different people.</p><p>For instance, someone might say <em>Harry is being recruited by Molly</em></p><p>We want you to think about which of those two people (Molly and Harry) the speaker identifies more with. For instance, why did the speaker say <em>Harry is being recruited by Molly</em> rather than <em> Molly is recruiting Harry</em>? Might that mean that the speaker is socially closer to one of the two characters?</p><p>After you have read the sentence, you will rate on a scale which of the two characters the speaker identifies more with.</p><p>You will give your answer by clicking a button on a rating scale.</p><p>Sometimes there will also be catch questions designed to make sure that you are paying attention, which ask about a different topic.</p><p>To do this task, you will have to use your imagination to think about and visualise the events, and how the speaker might relate to the characters.</p><br><p>Ready?</p>",0,Continue,Continue,html-button-response,2,109025,0.0-2.0,anomymised,6560c4cfd080ba12b16d8282,6564c8e76f2fa89691c46d09,94731,1A,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6655.399999999907,"<p>Before the experiment starts, we will show you an example of how you will answer the questions. Press 'Continue'.</p>",0,Continue,Continue,html-button-response,3,116697,0.0-3.0,anomymised,6560c4cfd080ba12b16d8282,6564c8e76f2fa89691c46d09,94731,1A,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,Somebody says <br><em>Samuel is dining with Frank</em>,NA,NA,NA,html-keyboard-response,4,119793,0.0-4.0,anomymised,6560c4cfd080ba12b16d8282,6564c8e76f2fa89691c46d09,94731,1A,man,NA,null,NA,NA,NA,NA,NA,NA,NA,NA
31349.699999999953,<img src='img/Example-trial.jpg' style='height:550px;''></img>,0,Continue,Continue,html-button-response,5,151144,0.0-5.0,anomymised,6560c4cfd080ba12b16d8282,6564c8e76f2fa89691c46d09,94731,1A,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5403.5,<p>Ready to start the experiment?</p><br><p><strong>Remember to give an answer by clicking a button on the rating scale.</strong></p><p>Press 'Continue' to begin.</p>,0,Continue,Continue,html-button-response,6,157560,0.0-6.0,anomymised,6560c4cfd080ba12b16d8282,6564c8e76f2fa89691c46d09,94731,1A,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,Somebody says<br><em>Mike is arguing with Fred</em>,NA,NA,NA,html-keyboard-response,7,160576,0.0-7.0-0.0,anomymised,6560c4cfd080ba12b16d8282,6564c8e76f2fa89691c46d09,94731,1A,man,NA,null,NAME1 is arguing with NAME2,argue_active,sentence,NA,NA,NA,NA,NA
14582.199999999953,NA,NA,NA,NA,survey-likert-extra-labels,8,175162,0.0-7.0-1.0,anomymised,6560c4cfd080ba12b16d8282,6564c8e76f2fa89691c46d09,94731,1A,man,NA,NA,Somebody says<br><em>Mike is arguing with Fred</em>,argue_active,rating_volition,"{""Q0"":5}",[0],The speaker identifies more with <br>Mike than Fred,The speaker identifies more with<br>Fred than Mike,left_to_right
null,Somebody says<br><em>Luke and Ruth are shouting at each other</em>,NA,NA,NA,html-keyboard-response,9,177180,0.0-8.0-0.0,anomymised,6560c4cfd080ba12b16d8282,6564c8e76f2fa89691c46d09,94731,1A,man,NA,null,NAME1 and NAME2 are shouting at each other,shout_conjoined,sentence,NA,NA,NA,NA,NA
7675.20000000007,NA,NA,NA,NA,survey-likert-extra-labels,10,184858,0.0-8.0-1.0,anomymised,6560c4cfd080ba12b16d8282,6564c8e76f2fa89691c46d09,94731,1A,man,NA,NA,Somebody says<br><em>Luke and Ruth are shouting at each other</em>,shout_conjoined,rating_volition,"{""Q0"":3}",[0],The speaker identifies more with <br>Luke than Ruth,The speaker identifies more with<br>Ruth than Luke,left_to_right
