rt,stimulus,button_pressed,choices,ChosenStimulus,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,subject,list,ppt_gender,url,key_press,sentence_type,verb,test_part,responses,question_order,left_part,right_part,name_order
3975.0999999999767,Welcome to the experiment. Press Continue to begin.,0,Continue,Continue,html-button-response,0,3986,0.0-0.0,anomymised,6560c4cfd080ba12b16d8282,6564c875ce81f2d248073279,96368,1A,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39208,NA,NA,NA,NA,external-html,1,44317,0.0-1.0,anomymised,6560c4cfd080ba12b16d8282,6564c875ce81f2d248073279,96368,1A,man,consent.html,NA,NA,NA,NA,NA,NA,NA,NA,NA
43178.60000000009,"<p>Welcome.</p><p>In this experiment we will ask you to imagine people's motivations for saying sentences.</p><p>Each trial will begin with a sentence that somebody might say to describe an event involving two different people.</p><p>For instance, someone might say <em>Harry is being recruited by Molly</em></p><p>We want you to think about which of those two people (Molly and Harry) the speaker identifies more with. For instance, why did the speaker say <em>Harry is being recruited by Molly</em> rather than <em> Molly is recruiting Harry</em>? Might that mean that the speaker is socially closer to one of the two characters?</p><p>After you have read the sentence, you will rate on a scale which of the two characters the speaker identifies more with.</p><p>You will give your answer by clicking a button on a rating scale.</p><p>Sometimes there will also be catch questions designed to make sure that you are paying attention, which ask about a different topic.</p><p>To do this task, you will have to use your imagination to think about and visualise the events, and how the speaker might relate to the characters.</p><br><p>Ready?</p>",0,Continue,Continue,html-button-response,2,87490,0.0-2.0,anomymised,6560c4cfd080ba12b16d8282,6564c875ce81f2d248073279,96368,1A,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3785.0999999999767,"<p>Before the experiment starts, we will show you an example of how you will answer the questions. Press 'Continue'.</p>",0,Continue,Continue,html-button-response,3,92284,0.0-3.0,anomymised,6560c4cfd080ba12b16d8282,6564c875ce81f2d248073279,96368,1A,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,Somebody says <br><em>Samuel is dining with Frank</em>,NA,NA,NA,html-keyboard-response,4,95298,0.0-4.0,anomymised,6560c4cfd080ba12b16d8282,6564c875ce81f2d248073279,96368,1A,man,NA,null,NA,NA,NA,NA,NA,NA,NA,NA
46695.09999999998,<img src='img/Example-trial.jpg' style='height:550px;''></img>,0,Continue,Continue,html-button-response,5,141995,0.0-5.0,anomymised,6560c4cfd080ba12b16d8282,6564c875ce81f2d248073279,96368,1A,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3324,<p>Ready to start the experiment?</p><br><p><strong>Remember to give an answer by clicking a button on the rating scale.</strong></p><p>Press 'Continue' to begin.</p>,0,Continue,Continue,html-button-response,6,146340,0.0-6.0,anomymised,6560c4cfd080ba12b16d8282,6564c875ce81f2d248073279,96368,1A,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,Somebody says<br><em>Kate is being opposed by Luke</em>,NA,NA,NA,html-keyboard-response,7,149352,0.0-7.0-0.0,anomymised,6560c4cfd080ba12b16d8282,6564c875ce81f2d248073279,96368,1A,man,NA,null,NAME1 is being opposed by NAME2,oppose_passive,sentence,NA,NA,NA,NA,NA
20492.300000000047,NA,NA,NA,NA,survey-likert-extra-labels,8,169847,0.0-7.0-1.0,anomymised,6560c4cfd080ba12b16d8282,6564c875ce81f2d248073279,96368,1A,man,NA,NA,Somebody says<br><em>Kate is being opposed by Luke</em>,oppose_passive,rating_volition,"{""Q0"":5}",[0],The speaker identifies more with <br>Luke than Kate,The speaker identifies more with<br>Kate than Luke,right_to_left
null,Somebody says<br><em>Beth is shouting at Luke</em>,NA,NA,NA,html-keyboard-response,9,171862,0.0-8.0-0.0,anomymised,6560c4cfd080ba12b16d8282,6564c875ce81f2d248073279,96368,1A,man,NA,null,NAME1 is shouting at NAME2,shout_active,sentence,NA,NA,NA,NA,NA
