rt,stimulus,button_pressed,choices,ChosenStimulus,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,subject,list,ppt_gender,url,key_press,sentence_type,verb,test_part,responses,question_order,left_part,right_part,name_order
1457.5999999642372,Welcome to the experiment. Press Continue to begin.,0,Continue,Continue,html-button-response,0,1461,0.0-0.0,anomymised,6560c4cfd080ba12b16d8282,6564c83027ad6bd600dcb1fb,87167,1A,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5445.899999976158,NA,NA,NA,NA,external-html,1,7958,0.0-1.0,anomymised,6560c4cfd080ba12b16d8282,6564c83027ad6bd600dcb1fb,87167,1A,man,consent.html,NA,NA,NA,NA,NA,NA,NA,NA,NA
40366.19999998808,"<p>Welcome.</p><p>In this experiment we will ask you to imagine people's motivations for saying sentences.</p><p>Each trial will begin with a sentence that somebody might say to describe an event involving two different people.</p><p>For instance, someone might say <em>Harry is being recruited by Molly</em></p><p>We want you to think about which of those two people (Molly and Harry) the speaker identifies more with. For instance, why did the speaker say <em>Harry is being recruited by Molly</em> rather than <em> Molly is recruiting Harry</em>? Might that mean that the speaker is socially closer to one of the two characters?</p><p>After you have read the sentence, you will rate on a scale which of the two characters the speaker identifies more with.</p><p>You will give your answer by clicking a button on a rating scale.</p><p>Sometimes there will also be catch questions designed to make sure that you are paying attention, which ask about a different topic.</p><p>To do this task, you will have to use your imagination to think about and visualise the events, and how the speaker might relate to the characters.</p><br><p>Ready?</p>",0,Continue,Continue,html-button-response,2,48325,0.0-2.0,anomymised,6560c4cfd080ba12b16d8282,6564c83027ad6bd600dcb1fb,87167,1A,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3554.100000023842,"<p>Before the experiment starts, we will show you an example of how you will answer the questions. Press 'Continue'.</p>",0,Continue,Continue,html-button-response,3,52893,0.0-3.0,anomymised,6560c4cfd080ba12b16d8282,6564c83027ad6bd600dcb1fb,87167,1A,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,Somebody says <br><em>Samuel is dining with Frank</em>,NA,NA,NA,html-keyboard-response,4,55921,0.0-4.0,anomymised,6560c4cfd080ba12b16d8282,6564c83027ad6bd600dcb1fb,87167,1A,man,NA,null,NA,NA,NA,NA,NA,NA,NA,NA
17775.899999976158,<img src='img/Example-trial.jpg' style='height:550px;''></img>,0,Continue,Continue,html-button-response,5,73699,0.0-5.0,anomymised,6560c4cfd080ba12b16d8282,6564c83027ad6bd600dcb1fb,87167,1A,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2083.2999999523163,<p>Ready to start the experiment?</p><br><p><strong>Remember to give an answer by clicking a button on the rating scale.</strong></p><p>Press 'Continue' to begin.</p>,0,Continue,Continue,html-button-response,6,76785,0.0-6.0,anomymised,6560c4cfd080ba12b16d8282,6564c83027ad6bd600dcb1fb,87167,1A,man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,Somebody says<br><em>Mike is posing for Dave,NA,NA,NA,html-keyboard-response,7,79802,0.0-7.0-0.0,anomymised,6560c4cfd080ba12b16d8282,6564c83027ad6bd600dcb1fb,87167,1A,man,NA,null,M2 is posing for M4,pose,sentence,NA,NA,NA,NA,NA
11547.600000023842,NA,NA,NA,NA,survey-likert-extra-labels,8,91353,0.0-7.0-1.0,anomymised,6560c4cfd080ba12b16d8282,6564c83027ad6bd600dcb1fb,87167,1A,man,NA,NA,Somebody says<br><em>Mike is posing for Dave,pose,rating_volition,"{""Q0"":5}",[0],Mike is modelling for Dave,Dave is modelling for Mike,NA
null,Somebody says<br><em>Luke is driving Fred,NA,NA,NA,html-keyboard-response,9,93364,0.0-8.0-0.0,anomymised,6560c4cfd080ba12b16d8282,6564c83027ad6bd600dcb1fb,87167,1A,man,NA,null,M1 is driving M3,drive,sentence,NA,NA,NA,NA,NA
